,capacidad,alcaldia,latitud,longitud,alcaldia_id
172,2500,Milpa Alta,19.196819,-99.003038,009
173,2500,Milpa Alta,19.173262,-98.997956,009
174,2500,Milpa Alta,19.172179,-98.999645,009
175,2500,Milpa Alta,19.177877,-99.035543,009
176,2500,Milpa Alta,19.176296,-99.035228,009
177,2500,Milpa Alta,19.197462,-99.026277,009
178,2500,Milpa Alta,19.195203,-99.000595,009
179,2500,Milpa Alta,19.17477,-98.998431,009
180,2500,Milpa Alta,19.17628,-99.035248,009
181,2500,Milpa Alta,19.203689,-99.049473,009
182,2500,Milpa Alta,19.200506,-99.004084,009
183,2500,Milpa Alta,19.201867,-99.008866,009
184,2500,Milpa Alta,19.201867,-99.008866,009
185,2500,Milpa Alta,19.194638,-99.001479,009
186,2500,Tlalpan,19.259752,-99.186345,012
187,2500,Milpa Alta,19.198567,-99.024145,009
188,2500,Milpa Alta,19.20255,-99.031442,009
189,2500,Milpa Alta,19.172939,-98.998927,009
190,1100,Milpa Alta,19.196229,-99.004551,009
191,2500,Milpa Alta,19.171833,-98.990585,009
192,2500,Milpa Alta,19.197681,-99.004834,009
193,2500,Milpa Alta,19.197921,-99.005381,009
194,2500,Milpa Alta,19.199897,-99.031207,009
195,2500,Milpa Alta,19.197921,-99.004326,009
196,1100,Milpa Alta,19.201196,-99.004066,009
197,2500,Milpa Alta,19.192169,-99.093774,009
198,2500,Milpa Alta,19.201456,-99.00371,009
199,2500,Milpa Alta,19.198576,-99.006941,009
200,2500,Milpa Alta,19.188809,-98.998068,009
201,2500,Milpa Alta,19.192169,-99.093774,009
202,1100,Milpa Alta,19.174828,-98.998411,009
203,1100,Tlalpan,19.245917,-99.142531,012
204,2500,Milpa Alta,19.198538,-99.019828,009
205,2500,Milpa Alta,19.192544,-99.089211,009
206,2500,Milpa Alta,19.19479,-98.999998,009
207,2500,Milpa Alta,19.173244,-99.000754,009
208,2500,Milpa Alta,19.193696,-99.088875,009
209,2500,Milpa Alta,19.199108,-99.00527,009
210,2500,Milpa Alta,19.169912,-99.001335,009
211,2500,Milpa Alta,19.198475,-99.005243,009
212,1100,Milpa Alta,19.198451,-99.005277,009
213,2500,Milpa Alta,19.18839,-98.994467,009
214,2500,Milpa Alta,19.195118,-99.021923,009
215,2500,Milpa Alta,19.189843,-99.094362,009
216,2500,Milpa Alta,19.188741,-98.995271,009
217,1100,Milpa Alta,19.190631,-98.991878,009
218,2500,Milpa Alta,19.17286,-99.001038,009
219,2500,Milpa Alta,19.198743,-99.005345,009
220,2500,Milpa Alta,19.189962,-99.094124,009
221,1100,Milpa Alta,19.19647,-99.022451,009
222,2500,Milpa Alta,19.198528,-99.005377,009
223,2500,Milpa Alta,19.175084,-98.999057,009
224,1100,Milpa Alta,19.196438,-99.022333,009
225,2500,Milpa Alta,19.222141,-98.998109,009
226,2500,Milpa Alta,19.191483,-99.006531,009
227,2500,Milpa Alta,19.193831,-99.017713,009
228,2500,Milpa Alta,19.197438,-99.023443,009
229,2500,Milpa Alta,19.194457,-99.019463,009
230,2500,Milpa Alta,19.193484,-99.017982,009
231,2500,Milpa Alta,19.199087,-99.023217,009
232,2500,Milpa Alta,19.218284,-99.044624,009
233,2500,Milpa Alta,19.199857,-99.048033,009
234,2500,Milpa Alta,19.199796,-99.050388,009
235,2500,Milpa Alta,19.212244,-99.005133,009
236,2500,Tláhuac,19.291592,-99.004893,011
237,1100,Milpa Alta,19.190641,-99.091526,009
238,2500,Milpa Alta,19.206457,-99.071393,009
239,2500,Milpa Alta,19.197477,-99.04874,009
240,2500,Milpa Alta,19.195459,-99.007516,009
241,1100,Milpa Alta,19.200241,-99.047197,009
242,2500,Milpa Alta,19.195843,-99.007262,009
243,2500,Milpa Alta,19.221163,-98.990066,009
244,2500,Milpa Alta,19.194524,-99.088934,009
245,2500,Milpa Alta,19.174981,-98.998753,009
246,2500,Milpa Alta,19.174159,-98.9981,009
247,1100,Milpa Alta,19.190004,-99.091219,009
248,2500,Milpa Alta,19.172797,-98.999393,009
249,2500,Milpa Alta,19.205052,-99.066747,009
250,1100,Milpa Alta,19.203477,-99.0483,009
251,1100,Milpa Alta,19.172099,-98.999738,009
252,2500,Milpa Alta,19.199885,-99.05237,009
253,2500,Milpa Alta,19.195112,-99.007578,009
254,1100,Milpa Alta,19.198418,-99.008271,009
255,2500,Milpa Alta,19.19716,-99.008066,009
256,2500,Milpa Alta,19.19686,-98.998666,009
257,2500,Milpa Alta,19.181702,-99.07032,009
258,2500,Milpa Alta,19.196746,-99.007001,009
259,2500,Milpa Alta,19.194705,-99.007929,009
260,2500,Milpa Alta,19.172318,-98.994656,009
261,1100,Milpa Alta,19.196521,-99.006692,009
262,2500,Milpa Alta,19.197952,-99.005489,009
263,2500,Milpa Alta,19.200874,-99.047599,009
264,2500,Milpa Alta,19.172329,-98.994946,009
265,2500,Milpa Alta,19.197376,-99.010056,009
266,2500,Milpa Alta,19.170727,-98.995217,009
267,2500,Milpa Alta,19.188834,-99.093762,009
268,2500,Milpa Alta,19.16839,-98.994383,009
269,2500,Milpa Alta,19.226481,-98.998875,009
